-->> Training and testing with OR
iter:0     |X: 1  1 -1  1  |Y: 1  |y_:-1  | err: 2  | W:0.16 0.15 -0.29 0.15
iter:1     |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.16 0.15 -0.29 0.15
iter:2     |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.16 0.15 -0.29 0.15
iter:3     |X:-1 -1 -1  1  |Y:-1  |y_: 1  | err:-2  | W:0.36 0.35 -0.09 -0.05
iter:4     |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.36 0.35 -0.09 -0.05
iter:5     |X:-1 -1  1  1  |Y: 1  |y_:-1  | err: 2  | W:0.16 0.15 0.11 0.15
iter:6     |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.16 0.15 0.11 0.15
iter:7     |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.16 0.15 0.11 0.15
iter:8     |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.16 0.15 0.11 0.15
iter:9     |X:-1 -1 -1  1  |Y:-1  |y_: 1  | err:-2  | W:0.36 0.35 0.31 -0.05
iter:10    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.36 0.35 0.31 -0.05
iter:11    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.36 0.35 0.31 -0.05
iter:12    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.36 0.35 0.31 -0.05
iter:13    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.36 0.35 0.31 -0.05
iter:14    |X: 1 -1 -1  1  |Y: 1  |y_:-1  | err: 2  | W:0.56 0.15 0.11 0.15
iter:15    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.15 0.11 0.15
iter:16    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.15 0.11 0.15
iter:17    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.15 0.11 0.15
iter:18    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.15 0.11 0.15
iter:19    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.15 0.11 0.15
iter:20    |X:-1 -1 -1  1  |Y:-1  |y_: 1  | err:-2  | W:0.76 0.35 0.31 -0.05
iter:21    |X:-1  1 -1  1  |Y: 1  |y_:-1  | err: 2  | W:0.56 0.55 0.11 0.15
iter:22    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.55 0.11 0.15
iter:23    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.55 0.11 0.15
iter:24    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.55 0.11 0.15
iter:25    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.55 0.11 0.15
iter:26    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.55 0.11 0.15
iter:27    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.56 0.55 0.11 0.15
iter:28    |X:-1 -1 -1  1  |Y:-1  |y_: 1  | err:-2  | W:0.76 0.75 0.31 -0.05
iter:29    |X: 1 -1 -1  1  |Y: 1  |y_:-1  | err: 2  | W:0.96 0.55 0.11 0.15
iter:30    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:31    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:32    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:33    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:34    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:35    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:36    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:37    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.55 0.11 0.15
iter:38    |X:-1 -1 -1  1  |Y:-1  |y_: 1  | err:-2  | W:1.16 0.75 0.31 -0.05
iter:39    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:1.16 0.75 0.31 -0.05
iter:40    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:1.16 0.75 0.31 -0.05
iter:41    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:1.16 0.75 0.31 -0.05
iter:42    |X:-1  1 -1  1  |Y: 1  |y_:-1  | err: 2  | W:0.96 0.95 0.11 0.15
iter:43    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:44    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:45    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:46    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:47    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:48    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:49    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:50    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:51    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:52    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:53    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:54    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.11 0.15
iter:55    |X:-1 -1 -1  1  |Y:-1  |y_: 1  | err:-2  | W:1.16 1.15 0.31 -0.05
iter:56    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:1.16 1.15 0.31 -0.05
iter:57    |X:-1 -1  1  1  |Y: 1  |y_:-1  | err: 2  | W:0.96 0.95 0.51 0.15
iter:58    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:59    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:60    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:61    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:62    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:63    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:64    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:65    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:66    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:67    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:68    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:69    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:70    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:71    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:72    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:73    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:74    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:75    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:76    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:77    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:78    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:79    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:80    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:81    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:82    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:83    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:84    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:85    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:86    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:87    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:88    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:89    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:90    |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:91    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:92    |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:93    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:94    |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:95    |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:96    |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:97    |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:98    |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:99    |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:100   |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:101   |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:102   |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:103   |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:104   |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:105   |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:106   |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:107   |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:108   |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:109   |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:110   |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:111   |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:112   |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:113   |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:114   |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:115   |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:116   |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:117   |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:118   |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:119   |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:120   |X:-1 -1 -1  1  |Y:-1  |y_:-1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:121   |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:122   |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:123   |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:124   |X: 1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:125   |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:126   |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:127   |X: 1 -1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:128   |X:-1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:129   |X: 1 -1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:130   |X:-1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:131   |X: 1  1 -1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
iter:132   |X:-1  1  1  1  |Y: 1  |y_: 1  | err: 0  | W:0.96 0.95 0.51 0.15
